,Authors,Abstract
S,Hayatbakhsh M.R.; Najman J.M.; Jamrozik K.; Mamun A.A.; O'Callaghan M.J.; Williams G.M.,"Childhood sexual abuse (CSA) is associated with a wide range of health problems later in life. The impact of CSA on young adults' use of cannabis remains under-studied. We examined the extent to which exposure to CSA was associated with increased rates of use of cannabis in early adulthood in a birth cohort of 3,285 Australian children followed-up to the age of 21 years, when retrospective reports of CSA were obtained from sample participants along with information on their use of cannabis at 21 years. Young adult men and women who reported experiencing CSA had significantly higher rates of frequent use of cannabis in early adulthood, defined as use of cannabis at least ""every few days."" In multivariate analyses, men who reported a history of CSA had an odds ratio (OR) of 2.1 (95% CI = 1.1-3.9) for frequent use of cannabis at the age of 21 years. For women, there was an OR of 3.9 (95% CI = 2.4-6.3). Family and individual factors measured earlier in the study did not confound these associations. The findings suggest that children experiencing CSA have a substantially greater risk of use of cannabis and, in particular, its frequent use in early adulthood. Further research is required to explore factors that explain the pathway linking CSA and use of cannabis in early adulthood. © 2007 Springer Science+Business Media, LLC."
S,Reid M.,"This article examines the nature of and controversies within southwest Michigan’s unique cannabis community during the state’s imposition of a new regulatory model for medical cannabis businesses. These transformations occurred at the same time voters in the state struck down prohibition in 2018, arguably facilitating an even more anomic environment for medical cannabis patients and stakeholders. Data presented here comes from an eclectic mix of key informant interviews (n = 9), focus groups of cannabis patients (n = 21), informal researcher observations, and news reports. These are combined to create a case study that illuminates a variety of tensions during a transformational time. Results are then broken down between two overarching themes—How new regulations favoring big businesses made medical cannabis scarce for patients, and how the inclusion of caregivers in the new regulatory system may have prevented such a scarcity. Following the results is a discussion which synthesizes the literature on medical cannabis social movements and the cannabis subculture with the tensions and controversies documented in Michigan. The article concludes with implications and practical strategies for regulatory bodies as both medical and adult-use cannabis moves from the underground and into the formal economy. © 2022 Informa UK Limited, trading as Taylor & Francis Group."
S,Williams A.R.; Hill K.P.,"The past 2 decades have seen a revolution in legal access to cannabis, driven largely by activists and business interests. As a result, the population of cannabis users nationwide-especially daily users-has grown significantly. An estimated 4.5-7 million persons in the United States now meet criteria for cannabis use disorder annually. This article focuses on the effects of cannabis use, intoxication, and withdrawal while also reviewing the developmental pathways of cannabis use disorder as well as evidence-based pharmacologic and psychosocial treatments.  © 2020 American College of Physicians."
S,Rotering T.; Apollonio D.E.,"Background: The cannabis industry has an interest in creating a regulatory environment which maximizes profits at the cost of public health, similar to the tobacco, alcohol, and food industries. This study sought to describe the cannabis industry's lobbying activities in the Colorado State Legislature over time. Methods: This retrospective observational study analyzed publicly available lobbying expenditures data from fiscal years (FY) 2010–2021. Measures included inflation-adjusted monthly lobbying expenditures by funder and lobbyist, origin of funding, and lobbyist descriptions of cannabis industry clients. This dataset was supplemented with business license documentation, legislative histories, and public testimony. Results: The cannabis industry spent over $7 million (inflation adjusted) from FY 2010–2021 to lobby the Colorado legislature on 367 bills. Over $800,000 (11% of total cannabis spending) was from out-of-state clients. In 48% of lobbyist reports lobbyists did not disclose their funder's cannabis affiliation, and cannabis organizations used strategies that may have obscured the true amount and source of funding. Lobbyists and agencies concurrently represented the alcohol, tobacco, and cannabis industries, possibly facilitating inter-industry alliances when interests align. Conclusion: The cannabis industry dedicated significant resources towards lobbying the Colorado State Legislature on behalf of policies intended to increase cannabis use. Creating transparency about the relationships between the cannabis industry, related industries, and policymakers is essential to ensure appropriate regulation of cannabis products. © 2022"
S,Compton M.T.; Chien V.H.; Bollini A.M.,"Associations between past use of alcohol, cannabis, and cocaine and various domains of schizotypy were examined in first-degree relatives of patients with schizophrenia and non-psychiatric controls. Substance use was operationalized in three ways: (1) having ever used the substance, (2) age at first use, and (3) past frequency/amount of use during three time periods in late adolescence/early adulthood. Schizotypy was assessed using the Schizotypal Personality Questionnaire (SPQ). Participants who had ever used cannabis had significantly higher cognitive-perceptual, interpersonal, and total schizotypy scores compared to those who had not. Younger age of alcohol use onset was associated with more schizotypy in adulthood, and younger age of first cannabis use was related to more interpersonal schizotypy. More frequent/heavier use of alcohol in the 25-29 age-range, and cannabis in early adulthood, were associated with more schizotypy. The use of addictive substances, particularly cannabis, is related to schizotypy in complex ways. © 2009 Springer Science+Business Media, LLC."
S,Moreno M.A.; Jenkins M.; Binger K.; Kelly L.; Trangenstein P.J.; Whitehill J.M.; Jernigan D.H.,"Objective: Marketing messages can influence adoles-cents’ attitudes and behaviors toward alcohol and tobacco. In the era of legalized cannabis use, retail cannabis companies often use social media marketing on platforms popular among youth. The purpose of this study was to evaluate adherence to state-based regulations for restricted and required content across social media from recreational cannabis busi-nesses. Method: A retrospective content analysis was used to evaluate one year of publicly displayed posts by retail cannabis companies on Facebook and Instagram from four states in which recreational cannabis use is legal (Alaska, Colorado, Oregon, and Washington State). We evaluated restricted content including the following: (a) business practices, such as avoiding discounts/promotions or promoting branded products; (b) modeling cannabis use or overconsumption; (c) youth-focused messaging; and (d) health benefits. We evaluated required content including three types of warnings: (a) limiting cannabis use to those age 21 and over, (b) avoiding impaired driving, and (c) describing health risks. Results: A total of 2,660 posts were evaluated from 14 businesses. In the area of restricted content, discounts/promotions were present in approximately 35% of all posts. Another common category was overconsumption, found in 12% of posts. Required content regarding warnings was present in less than half of all social media posts. Conclusions: Despite state-based advertising restrictions, recreational cannabis business pages use messages with youth appeal. Required safety message adherence is not typical on social media business pages. (J. Stud. Alcohol Drugs, 83, 27–36, 2022). © 2022, Alcohol Research Documentation Inc.. All rights reserved."
S,Kinney A.B.,"In contemporary society, sumptuary laws regulate contested markets by delegating enforcement responsibilities to the private sector. This can decouple the intention behind policies from the practices to implement them. When state interests do not align concerning the legality of a market, can policy and practice recouple, and if so, how? This article reports on a case study of commercial cannabis in the United States to answer this question. Interviews with 56 cannabis industry stakeholders in California, Arizona, and Texas reveal that policy and practice recoupled through a patterned process that I call sumptuary administration. In each state, regulators drew on a unique set of schemas, or “framework of accountability,” that prioritized a subset of cannabis market participants during the policy-making process. This resulted in missing or ambiguous sumptuary laws. To address business challenges that were tethered to this regulatory environment, cannabis businesses drew on similar schemas to identify appropriate practices. I show how grounding practices in these frameworks legitimized the preferences of the cannabis industry in the eyes of state authorities and influenced specific program policy revisions. Sumptuary administration represents a novel mechanism for understanding the social construction of legality in markets that are regulated under fragmented governance. © 2023 University of Denver and Wiley Periodicals LLC."
S,Matthay E.C.; Gupta A.; Mousli L.; Schmidt L.A.,"Objective: The growing availability of cannabis products through home delivery services may affect cannabis-related health outcomes. However, research is impeded by a lack of data measuring the scale of home delivery. Prior research demonstrated that crowdsourced websites can be used to validly enumerate brick-and-mortar cannabis outlets. We piloted an extension of this method to explore the feasibility of measuring availability of cannabis home delivery. Method: We tested implementation of an automated algorithm designed to webscrape data from Weedmaps, the largest crowdsourced website for cannabis retail, to count the number of legal cannabis retailers offering home delivery to the geographic centroid of each Census block group in California. We compared these estimates to the number of brick-and-mortar outlets within each block group. To assess data quality, we conducted follow-up telephone interviews with a subsample of cannabis delivery retailers. Results: We successfully implemented the webscraping. Of the 23,212 block groups assessed, 22,542 (97%) were served by at least one cannabis delivery business. Only 461 block groups (2%) contained one or more brick-and-mortar outlets. In interviews, availability varied dynamically as a function of staffing levels, order sizes, time of day, competition, and demand. Conclusions: Webscraping crowdsourced websites could be a viable method for quantifying rapidly evolving availability of cannabis home delivery. However, key practical and conceptual challenges must be overcome to conduct a full-scale validation and develop methodological standards. Acknowledging data limitations, cannabis home delivery appears to be nearly universal in California, whereas availability of brick-and-mortar outlets is limited, underscoring the need for research on home delivery. © 2023, Alcohol Research Documentation Inc.. All rights reserved."
S,Moeller K.K.,"A recent change in Danish cannabis control policy has had significant implications for the structure of the retail-level cannabis market in Copenhagen. A process of restructuring following an crackdown on 'Pusher Street' has involved at least four people getting shot and killed in what police describe as struggles for market shares. Combating the retail cannabis market was a top three priority for the Copenhagen police. The shift in policy started in 2004 when possession for personal use was up-penalized, from a discriminatory warning to an obligatory fine of 70 euros which was quadrupled in 2007. The law was immediately followed by an extensive police crackdown on Christiania's open retail-market. Christiania has had a cannabis market for 32 years. As cannabis use rates rose throughout the '90's the market flourished. On a given day it's estimated turnover was around 20 k, about twothirds of the total market in Copenhagen. On the 16th of May 2004 police raided 'Pusher Street' and arrested 60 dealers and their helpers along with 20 people accused of forming an organized lookout corps. After the initial raid police implemented a zero-tolerance zone in the area and targeted users in a deterrent effort issuing a total of 4834 fines in a year. Maintaining the zero tolerance zone has so far involved 12 big confrontations with the inhabitants of Christiania. 114 police officers have been injured and 29 formal complaints of police conduct have been lodged with the State Attorney. Following the crackdown the cannabis market adapted by dispersing and applying new methods for retail dealing. © Springer Science + Business Media B.V. 2009."
S,Madson M.J.,"Government leaders have called for messaging and prevention programs that target cannabis, which, in recent years, has been viewed more favorably in the public eye. In these efforts, technical communication scholars can make meaningful contributions, and as a start, this article presents a scoping review of three key areas in cannabis risk communication: physician/patient interactions, social media, and cannabis-related businesses. © 2023 Association of Teachers of Technical Writing."
S,KILMER B.; CAULKINS J.P.; Kilborn M.; Priest M.; WARREN K.M.,"Cannabis prohibition has created disparate harms-especially for Black, Indigenous, and People of Color (""BIPOC"")-largely through arrest disparities for possession and their downstream effects. Addressing inequities is increasingly featured in discussions to legalize cannabis supply and adult possession for nonmedical purposes. While there is little disagreement that these inequities exist, those hoping to use cannabis policy to respond to them have proposed multiple options that each come with their own set of potential benefits and costs. This Essay describes some of these opportunities as well as some major puzzles and trade-offs surrounding the use of cannabis policy to advance social equity. Additionally, it offers insights into the number of people who could benefit from various social equity efforts related to cannabis policy. In particular, sealing or expunging cannabis possession convictions could affect many more BIPOC-possibly close to two orders of magnitude more-than prioritizing these individuals for entrepreneurship or employment opportunities in the cannabis industry. These options are not mutually exclusive, but decision makers should consider the possibility of federal legalization and what it will mean for small cannabis businesses when developing cannabis equity programs. © 2021 Boston University Law Review. All rights reserved."
S,Mansouri H.; Asrar Z.; Szopa J.,"This work examined the effects of exogenously applied abscisic acid (ABA) on the content of chlorophyll, carotenoids, α-tocopherol, squalene, phytosterols, Δ9-tetrahydrocannabinol (THC) concentration, 3-hydroxy-3-methylglutaryl coenzyme A reductase (HMGR) and 1-deoxy-d-xylulose 5-phosphate synthase (DXS) activity in Cannabis sativa L. at flowering stage. Treatment with 1 and 10 mg l-1 ABA significantly decreased the contents of chlorophyll, carotenoids, squalene, stigmasterol, sitosterol, and HMGR activity in female cannabis plants. ABA caused an increase in α-tocopherol content and DXS activity in leaves and THC concentration in leaves and flowers of female plants. Chlorophyll content decreased with 10 mg l-1 ABA in male plants. Treatment with 1 and 10 mg l-1 ABA showed a decrease in HMGR activity, squalene, stigmasterol, and sitosterol contents in leaves but an increase in THC content of leaves and flowers in male plants. The results suggest that ABA can induce biosynthesis of 2-methyl-d-erythritol-4-phosphate (MEP) pathway secondary metabolites accumulation (α-tocopherol and THC) and down regulated biosynthesis of terpenoid primary metabolites from MEP and mevalonate (MVA) pathways (chlorophyll, carotenoids, and phytosterols) in Cannabis sativa. © 2009 Springer Science+Business Media B.V."
S,Beckman S.; Castañeda X.; Rivas L.; Schenker M.B.,"Introduction: Cannabis is a multi-billion-dollar California industry, but little is known about the occupational hazards or health experiences of cannabis cultivation workers. Respiratory and dermal exposures, musculoskeletal hazards, and other agricultural hazards have been identified in previous research. Even in a post-legalization framework, cannabis work is stigmatized and most cannabis is still produced illegally. Qualitative research is essential for establishing rapport with cannabis workers to understand their experiences and concerns. Methods: We conducted semi-structured discussions with four focus groups including 32 cannabis workers total, and 9 key informants who were workers, industry experts, and business owners or managers. Transcribed results were analyzed to identify key themes on physiological exposures and health effects. Results: The majority (81.3%) of focus group participants were seasonal migrant cannabis trimmers. Themes emerged of respiratory and dermal exposures and outcomes, musculoskeletal disorders, and physical hazards including living conditions. Workers reported respiratory symptoms and rashes from exposure to cannabis, mold, and pesticides. Musculoskeletal pain was ubiquitous due to inadequate seating and long shifts performing repetitive tasks. Seasonal workers experienced chronic exposure to cold conditions and unsanitary housing. Management-level interviewees and other industry stakeholders described concerns and experiences that differed from those of workers. Discussion: The results were consistent with existing research on cannabis worker health, with workers reporting respiratory and dermal exposure and symptoms, musculoskeletal hazards, and physical hazards associated with agricultural work. In addition, we found that workers were affected by substandard living conditions, remote and isolated work environments, and an absence of training. © 2022 Wiley Periodicals LLC."
S,Ehrlich T.; Simpson C.; Isaksen T.B.,"Objectives: The legalization of the production, sale, and possession of cannabis in Washington State in 2012 not only created the framework for a new legal industry, but also for a new regulated labor sector. In addition to typical occupational health and safety hazards associated with chemical and physical exposures, the transition from an illicit to a regulated workplace, the inconsistency between state and federal law, and the production of a unique psychoactive commodity crop that maintains value in the illicit marketplace creates a unique work environment with workplace concerns that are political, economic, and social in nature. Methods: We conducted a combination of semistructured key informant interviews targeted toward employers, focus groups that engaged employees, and an online survey with cannabis business owners and employees to identify concerns relating to worker health and safety. Results: In addition to physical and chemical hazards related to their workplace, workers described health concerns that were a result of social, economic, and political forces facing the transitioning cannabis industry and resulting from an inconsistency between state and federal law. Important themes that emerged from these data included the legal and regulatory environment that the cannabis industry faces, cannabis as an agricultural good, crime, gender, cannabis consumption in the workplace, changing worker demographics, and emerging technologies in this rapidly evolving industry. Conclusions: The unique sociopolitical challenges for occupational health and safety that we identified among cannabis workers in Washington State are especially relevant as other states and nations follow the example of Washington State in legalizing the widespread commercial cultivation, sale, and use of cannabis. As other states and nations legalize, it will be important for employers, public health practitioners, and regulators to recognize how transitioning from an illicit to a legal marketplace impacts worker health. Further, understanding the challenges that result in transitioning a cannabis workforce may be extrapolated in the future to better understand how transitioning other goods and services from an unregulated to a regulated marketplace may impact worker health. © The Author(s) 2019. Published by Oxford University Press on behalf of the British Occupational Hygiene Society."
S,Afik Z.; Cohen T.R.; Lahav Y.,"We report the Israeli firms’ market value reaction to announcements on initiating Cannabis-related activity. Using Event Study analysis, we find a significant positive effect of the announcements: a cumulative average abnormal return of 64% in three days. Similar stock price reactions are observed for most firms individually, though some of these firms’ activity in Cannabis has been declarative only without any related business action. © 2021"
S,Donnan J.; Shogan O.; Bishop L.; Swab M.; Najafizada M.,"Introduction: When non-medical cannabis use became legal, government regulators implemented policies to encourage safer consumption through access to a regulated market. While this market is growing, sales still occur through unregulated channels. This systematic review identifies factors influencing cannabis purchasing to help policymakers understand why consumers still purchase illicit market cannabis (registered with PROSPERO CRD42020176079). Methods: A comprehensive search strategy included databases in health, business, and social science fields (inception to June 2020). Studies were eligible for inclusion if they were conducted with persons who purchase cannabis and examine at least one attribute that would influence purchase choice and were published in the English language. Studies could be of any methodological design. Two independent reviewers completed two levels of screening, and all extraction was verified by a second reviewer. A qualitative synthesis of the findings was completed. The quality of the included studies was assessed using the Mixed Methods Appraisal Tool. Results: Of the 4839 citations screened, 96 were eligible for full-text review and 35 were included in the final synthesis. Aspects of price were the most common factors (27 studies). Twenty studies measured price elasticity; most studies found that demand was price inelastic. Many other attributes were identified (e.g., product quality, route of administration, product recommendations, packaging), but none were explored in depth. Eleven studies addressed aspects of product quality including demand elasticity based on quality, potency, and aroma. Studies also explored consumer-perceived “quality” but provided no definition; differences in quality appeared to impact consumer choice. Smoking cannabis appeared to be the preferred route of administration but was only examined in three studies. There was insufficient data to understand in the impact of other attributes on choice. There appeared to be preference heterogeneity for different attributes based on the consumer’s experience, reason for use, and gender. Conclusion: While price influences choices, demand is relatively inelastic. This suggests that consumers may be seeking lowest-cost, unregulated cannabis to avoid reducing consumption. Beyond price, there is a significant gap in our understanding of consumer choices. Perceived quality does appear to impact choice; however, more research is needed due to the lack of a recognized definition for cannabis quality. © 2022, The Author(s)."
S,Pacifico D.; Miselli F.; Carboni A.; Moschella A.; Mandolino G.,"The time course of cannabinoid accumulation in the leaves of individual plants of three Cannabis accessions was determined by gas-chromatographic analysis in greenhouse-grown plants. The total amounts and the concentration ratios of CBD, THC and CBG were determined; two accessions (an experimental hybrid, (21R × 15R) × NL, and plants from a seized seed lot) were found chemotypically uniform, with all plants belonging to chemotpe II (mixed) and I (high THC) respectively. The Carmagnola accession showed chemotypic heterogeneity, with a majority of plants belonging to chemotype III. The CBD/THC and CBG/CBD ratios were shown to be largely constant in the leaves, since 28 and until 103 days after sowing, and consistent with the ratios determined on mature inflorescences. CBD and THC maximum amounts in the leaves showed a peak in the leaves around 80 days from sowing, and were shown to be simultaneous during the growth period, irrespective of the chemotypes. Callus cultures were obtained from all the five different chemotypes (I, II, III, IV, V), and GC analyses were performed. Independently of the type and amount of cannabinoids in the mother plants, it was confirmed that callus cultures of Cannabis were not able to produce detectable amounts of any cannabinoids. © 2007 Springer Science+Business Media B.V."
S,Brushwood J.D.; Draeger M.A.; Rapley E.T.,"Cannabis has become a multi-billion-dollar worldwide industry and presents accountants with unique challenges and opportunities. This descriptive study examines characteristics of financial statement audits for this budding industry in Canada, one of the first countries to legalize recreational adult use of cannabis. Consistent with cannabis audit clients having higher risk, we find they incur more audit fees before and after legalization than a matched sample of non-cannabis companies. Cannabis companies also pay more non-audit fees before and after legalization, consistent with additional business opportunities for their auditors. The size of cannabis companies grew substantially after Canada's 2018 legalization, corresponding with increased occurrences of Big 4 cannabis company audits. However, compared to a matched sample of non-cannabis companies and controlling for size, cannabis companies are less (more) likely to be audited by a Big 4 (second-tier) firm. This observation is likely attributed to the reputation risk from being associated with a cannabis client, which is potentially higher for Big 4 firms than second-tier firms. © 2023 Elsevier Inc."
S,Goldstein R.; Sumner D.,"Two economists take readers on a tour of the economics of legal and illegal weed, showing where cannabis regulation has gone wrong and how it could do better. Cannabis ""legalization"" hasn't lived up to the hype. Across North America, investors are reeling, tax collections are below projections, and people are pointing fingers. On the business side, companies have shut down, farms have failed, workers have lost their jobs, and consumers face high prices. Why has legal weed failed to deliver on many of its promises? Can Legal Weed Win? takes on the euphoric claims with straight dope and a full dose of economic reality. This book delivers the unadulterated facts about the new legal segment of one of the world's oldest industries. In witty, accessible prose, economists Robin Goldstein and Daniel Sumner take readers on a whirlwind tour of the economic past, present, and future of legal and illegal weed. Drawing upon reams of data and their own experience working with California cannabis regulators since 2016, Goldstein and Sumner explain why many cannabis businesses and some aspects of legalization fail to measure up, while others occasionally get it right. Their stories stretch from before America's first medical weed dispensaries opened in 1996 through the short-term boom in legal consumption that happened during COVID-19 lockdowns. Can Legal Weed Win? is packed with unexpected insights about how cannabis markets can thrive, how regulators get the laws right or wrong, and what might happen to legal and illegal markets going forward. © 2022 by Robin S. Goldstein and Daniel A. Summer."
S,Williams J.; Skeels C.L.,"Chronic daily cannabis use has been shown to have long term harmful health effects, which in turn is expected to reduce labour market productivity. The evidence is less clear on the health impact of less frequent consumption, which is the more typical mode of use, and previous empirical studies fail to find robust evidence of an adverse impact of these modes of use on labour market productivity. This paper attempts to shed some light on this issue by directly estimating the impact of cannabis consumption in the past week and past year on health status using information on prime age individuals living in Australia. We find that cannabis use does reduce self-assessed health status, with the effect of weekly use being of a similar magnitude as smoking cigarettes daily. Moreover, we find evidence of a dose-response relationship in the health impact of cannabis use, with annual use having roughly half the impact of weekly use. © Springer Science+Business Media, LLC 2006."
S,Lampe J.R.,"The Controlled Substances Act (CSA) imposes a unified legal framework to regulate certain drugs-whether medical or recreational, legally or illicitly distributed-that are deemed to pose a risk of abuse and dependence. The CSA does not apply to all drugs. Rather, it applies to specific substances and categories of substances that have been designated for control by Congress or through administrative proceedings. The statute also applies to controlled substance analogues that are intended to mimic the effects of controlled substances and certain precursor chemicals commonly used in the manufacturing of controlled substances. Controlled substances subject to the CSA are divided into categories known as Schedules I through V based on their medical utility and their potential for abuse and dependence. Substances considered to present the greatest risk to the public health and safety are subject to the most stringent controls and sanctions. A lower schedule number corresponds to greater restrictions, so substances in Schedule I are subject to the strictest controls, while substances in Schedule V are subject to the least strict. Most substances subject to the CSA are also subject to other federal or state regulations, including the Federal Food, Drug, and Cosmetic Act (FD&C Act). The Drug Enforcement Administration (DEA) is the federal agency primarily responsible for implementing and enforcing the CSA. DEA may designate a substance for control through notice-and-comment rulemaking if the substance satisfies the applicable statutory criteria. The agency may also place a substance under temporary control on an emergency basis if the substance poses an imminent hazard to public safety. In addition, DEA may designate a substance for control under the United States' international treaty obligations. In the alternative, Congress may place a substance under control by statute. The CSA simultaneously aims to protect public health from the dangers of controlled substances diverted into the illicit market while also seeking to ensure that patients have access to pharmaceutical controlled substances for legitimate medical purposes. To accomplish those two goals, the statute creates two overlapping legal schemes. Registration provisions require entities working with controlled substances to register with DEA and implement various measures to prevent diversion and misuse of controlled substances. Trafficking provisions establish penalties for the production, distribution, and possession of controlled substances outside the legitimate scope of the registration system. DEA is primarily responsible for enforcing the registration provisions and works with the Criminal Division of the Department of Justice to enforce the trafficking provisions of the CSA. Violations of the registration provisions generally are not criminal offenses, but certain serious violations may result in criminal prosecutions, fines, and even short prison sentences. Violations of the trafficking provisions are criminal offenses that may result in large fines and lengthy prison sentences. Drug regulation has received significant attention from Congress in recent years, with a number of bills introduced in the 116th Congress that would amend the CSA in various ways. For example, after Congress passed several bills in recent years in response to the opioid crisis, additional proposals aimed at addressing the crisis are pending before the 116th Congress, including the John S. McCain Opioid Addiction Prevention Act (H.R. 1614, S. 724), which would limit practitioners' ability to prescribe opioids; the LABEL Opioids Act (H.R. 2732, S. 1449), which would require prescription opioids to bear certain warning labels; and the Ending the Fentanyl Crisis Act of 2019 (S. 1724), which would increase criminal liability for illicit trafficking in the powerful opioid fentanyl. The 116th Congress has also considered measures specifically seeking to address the proliferation of synthetic drugs that mimic the effects of fentanyl, including the Stopping Overdoses of Fentanyl Analogues Act (H.R. 2935, S. 1622) and the Modernizing Drug Enforcement Act of 2019 (H.R. 2580). In addition, multiple recent proposals would seek to address the divergence between federal and state marijuana laws. For example, the Secure And Fair Enforcement Banking Act of 2019 (SAFE Banking Act) (H.R. 1595, S. 1200) would seek to protect depository institutions that provide financial services to cannabis-related businesses from regulatory sanctions, and the Strengthening the Tenth Amendment Through Entrusting States Act (STATES Act) (H.R. 2093, S. 1028) would amend the CSA so that most provisions concerning marijuana do not apply to marijuana-related activities that comply with state law. Other proposals, such as the Legitimate Use of Medicinal Marihuana Act (H.R. 171) and the Marijuana Justice Act of 2019 (H.R. 1456, S. 597) could address the gap between federal and state law in the area of marijuana regulation by moving marijuana from Schedule I to a less restrictive schedule or remove marijuana from the CSA's schedules. Finally, recent legislative proposals would aim to facilitate clinical research involving controlled substances, particularly marijuana. These various proposals raise a number of legal questions as Congress contemplates whether to change the laws governing controlled substances. © 2020 Nova Science Publishers, Inc."
S,Krissman F.,"California's Emerald Triangle cannabis industry is internationally renowned for countercultural ""best practices"" (BPs), including small-scale farms, wages averaging $20 per hour, and environmental safeguards. Cannabis farmers refuted the agribusiness credo that ""farming is a business, not a way of life"" by building a multibillion-dollar crop industry outside of the corporate paradigm. However, the state's legalization process is pushing the agribusiness model, and many traditional BPs are now endangered. © 2019 Peter Lang Publishing, Inc., New York."
S,Seddon T.; Floodgate W.,"This book explores one of the most pressing public policy questions for the 2020s: how should we regulate cannabis? The global cannabis prohibition regime is fragmenting as more countries experiment with decriminalization and legalization, and this book aims to make sense of this rapidly changing world. The 'cannabis challenge' is complex. How do we balance creating a potentially lucrative legal cannabis industry with protecting public health? How do we hardwire social and racial justice into our reform initiatives? How do we build a cannabis trade that is environmentally sustainable? The book seeks to make sense of our present through a state-of-the-art global review of cannabis law reform initiatives - mapping what has been done, where, and with what impacts. It attempts to generate new ideas for the future of cannabis regulation by viewing it through the lens of business regulation and learning lessons from how other consumer products are regulated. © The Editor(s) (if applicable) and The Author(s) 2020. All rights reserved."
S,van Draanen J.; Tao H.; Gupta S.; Liu S.,"Background: Infodemiology is an emerging field of research that utilizes user-generated health-related content, such as that found in social media, to help improve public health. Twitter has become an important venue for studying emerging patterns in health issues such as substance use because it can reflect trends in real-time and display messages generated directly by users, giving a uniquely personal voice to analyses. Over the past year, several states in the United States have passed legislation to legalize adult recreational use of cannabis and the federal government in Canada has done the same. There are few studies that examine the sentiment and content of tweets about cannabis since the recent legislative changes regarding cannabis have occurred in North America. Objective: To examine differences in the sentiment and content of cannabis-related tweets by state cannabis laws, and to examine differences in sentiment between the United States and Canada between 2017 and 2019. Methods: In total, 1,200,127 cannabis-related tweets were collected from January 1, 2017, to June 17, 2019, using the Twitter application programming interface. Tweets then were grouped geographically based on cannabis legal status (legal for adult recreational use, legal for medical use, and no legal use) in the locations from which the tweets came. Sentiment scoring for the tweets was done with VADER (Valence Aware Dictionary and sEntiment Reasoner), and differences in sentiment for states with different cannabis laws were tested using Tukey adjusted two-sided pairwise comparisons. Topic analysis to determine the content of tweets was done using latent Dirichlet allocation in Python, using a Java implementation, LdaMallet, with Gensim wrapper. Results: Significant differences were seen in tweet sentiment between US states with different cannabis laws (P=.001 for negative sentiment tweets in fully illegal compared to legal for adult recreational use states), as well as between the United States and Canada (P=.003 for positive sentiment and P=.001 for negative sentiment). In both cases, restrictive state policy environments (eg, those where cannabis use is fully illegal, or legal for medical use only) were associated with more negative tweet sentiment than less restrictive policy environments (eg, where cannabis is legal for adult recreational use). Six key topics were found in recent US tweet contents: fun and recreation (keywords, eg, love, life, high); daily life (today, start, live); transactions (buy, sell, money); places of use (room, car, house); medical use and cannabis industry (business, industry, company); and legalization (legalize, police, tax). The keywords representing content of tweets also differed between the United States and Canada. Conclusions: Knowledge about how cannabis is being discussed online, and geographic differences that exist in these conversations may help to inform public health planning and prevention efforts. Public health education about how to use cannabis in ways that promote safety and minimize harms may be especially important in places where cannabis is legal for adult recreational and medical use. ©Jenna van Draanen, HaoDong Tao, Saksham Gupta, Sam Liu."
S,Rotering T.; Bialous S.; Apollonio D.,"Background: The cannabis industry has been described using the commercial determinants of health framework because it seeks to increase sales and profits through efforts to change the political environment. To increase understanding of these cannabis industry's efforts, this study describes cannabis industry campaign contributions in Colorado through an analysis of public records. Methods: We reviewed datasets posted online at the Colorado Secretary of State's Transparent in Contribution and Expenditure Reporting (TRACER) Campaign Finance System. We generated descriptive data on cannabis industry contributions to elections and conducted regressions to identify predictors of contributions, and associations between lagged contributions and a legislator's cannabis industry score (how closely aligned lawmaker's legislative history is with the cannabis industry from -1 to 1). Results: Between 2005-2021, 429 cannabis-affiliated contributors gave $4,658,385 (2021 inflation-adjusted) to 512 electoral committees. Contributions came primarily from non-profits (45%), businesses (27%), and individuals (25%). After recreational legalization in 2012, contributions from non-profit donors with industry ties gave way to contributions from cannabis businesses, business owners, and lobbyists. Cannabis industry contributions to local and state-wide ballot initiative campaigns historically made up the majority of the industry spending, but contributions to candidate committees more than tripled between the 2009-2010 legislative cycle and the 2019-2020 cycle. From 2017-2020, every $10,000 in lagged campaign donations from cannabis industry affiliated contributors was associated with a 0.245-point increase in a legislator's cannabis industry score (p=0.04). Conclusion: Cannabis-affiliated interests made substantial campaign contributions in Colorado. Public health advocates should monitor industry connections to lawmakers and industry tactics used to mask the source of political contributions. Continued surveillance of the cannabis industry is essential to exposing conflicts of interest and preventing undue industry influence. © 2023 The Author(s)"
S,Cowan M.J.,"American Indian tribes that enter the cannabis industry confront a multisovereign tax system that lacks certainty and horizontal equity. The complex interaction of state legalization and taxation of cannabis, federal tax law, the status of tribes as both governments and business enterprises, and the legal and tax landscape in Indian country can give tribes tax advantages and disadvantages compared to off-reservation cannabis dispensaries. This article analyzes these tax issues, examines them in the context of prior challenges posed by Indian gaming, and suggests reforms that address the tax inequities that can result from cannabis sales on Indian reservations. © 2021 The Author. American Business Law Journal © 2021 Academy of Legal Studies in Business"
